date,NDVI_p1
"Jan 4, 2021",0.659753
"Jan 9, 2021",0.525199
"Jan 14, 2021",0.0108335
"Jan 19, 2021",0.646873
"Feb 3, 2021",0.098306
"Feb 8, 2021",0.747664
"Feb 18, 2021",0.696852
"Feb 23, 2021",0.806154
"Feb 28, 2021",0.774941
"Mar 5, 2021",0.81884
"Mar 10, 2021",0.701968
"Mar 15, 2021",0.596987
"Mar 20, 2021",0.646613
"Mar 25, 2021",0.472071
"Mar 30, 2021",0.339439
"Apr 4, 2021",0.601445
"Apr 9, 2021",0.397024
"Apr 19, 2021",0.219185
"Apr 24, 2021",0.2749885
"Apr 29, 2021",0.20949
"May 4, 2021",0.1604265
"May 9, 2021",0.219486
"May 14, 2021",0.282939
"May 24, 2021",0.417111
"May 29, 2021",0.272358
"Jun 3, 2021",0.341249
"Jun 8, 2021",0.316335
"Jun 23, 2021",0.485298
"Jun 28, 2021",0.370461
"Jul 8, 2021",0.338414
"Aug 12, 2021",0.3641
"Aug 17, 2021",0.487611
"Aug 27, 2021",0.580933
"Sep 16, 2021",0.6064535
"Sep 26, 2021",0.00184615
"Oct 6, 2021",0.206433
"Oct 11, 2021",0.7029555
"Oct 16, 2021",0.492591
"Oct 21, 2021",0.383347
"Oct 26, 2021",0.422142
"Oct 31, 2021",0.266667
"Nov 5, 2021",0
"Nov 10, 2021",0.398508
"Nov 15, 2021",0.314923
"Nov 20, 2021",0.545999
"Nov 25, 2021",0.337808
"Nov 30, 2021",0.644876
"Dec 5, 2021",0.589129
"Dec 10, 2021",0.652882
"Dec 15, 2021",0.509784
"Dec 20, 2021",0.656264
"Dec 25, 2021",0.356764
